family,kind,queue_status,covered_queue_rows,isabelle_files,current_level,typed_carrier_exists,explicit_assumptions,isabelle_checked,wolfram_certificate,paper_priority,completion_state,next_upgrade,definition_count,theorem_or_lemma_count,assumes_count,type_or_const_count,forbidden_shortcut_hits,missing_files
Master theorem batch 004,batch,batch004_started,7,TZPID_Theorem_Semantic_Batch004.thy,typed_residual_guard,yes,yes,clean_build,not_attached,medium,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,10,11,8,0,0,
Topology/vector batch 005,batch,batch005_started,38,TZPID_Topology_Vector_Model.thy; TZPID_Theorem_Semantic_Batch005_Topology_Vector.thy,typed_scaffold,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,24,31,9,8,0,
Operator/spectral batch 006,batch,batch006_started,30,TZPID_Operator_Spectral_Model.thy; TZPID_Theorem_Semantic_Batch006_Operator_Spectral.thy,typed_scaffold,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,22,38,21,2,0,
Quantum/open-system batch 007,batch,batch007_started,23,TZPID_Quantum_Open_System_Model.thy; TZPID_Theorem_Semantic_Batch007_Quantum_Open_Systems.thy,typed_scaffold,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,23,47,7,3,0,
Geometry/manifold batch 008,batch,batch008_started,17,TZPID_Geometry_Manifold_Model.thy; TZPID_Theorem_Semantic_Batch008_Geometry_Manifold.thy,typed_scaffold,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,17,35,5,2,0,
Dynamics/scaling batch 009,batch,batch009_started,13,TZPID_Dynamics_Scaling_Model.thy; TZPID_Theorem_Semantic_Batch009_Dynamics_Scaling.thy,typed_scaffold,yes,yes,clean_build,not_attached,medium,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,14,28,7,0,0,
Meta-foundation batch 010,batch,batch010_started,13,TZPID_Meta_Foundation_Model.thy; TZPID_Theorem_Semantic_Batch010_Meta_Foundation.thy,typed_scaffold,yes,yes,clean_build,not_attached,medium,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,17,31,16,0,0,
Magnetic/torsion batch 011,batch,batch011_started,21,TZPID_Magnetic_Torsion_Model.thy; TZPID_Theorem_Semantic_Batch011_Magnetic_Torsion.thy,typed_scaffold,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,16,29,11,0,0,
Operator/spectral follow-up batch 012,batch,batch012_started,15,TZPID_Theorem_Semantic_Batch012_Operator_Spectral_Followup.thy,typed_residual_guard,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,9,14,10,0,0,
Topology/category follow-up batch 013,batch,batch013_started,15,TZPID_Theorem_Semantic_Batch013_Topology_Category_Followup.thy,typed_residual_guard,yes,yes,clean_build,not_attached,medium,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,15,16,2,2,0,
Dynamics/stability follow-up batch 014,batch,batch014_started,11,TZPID_Theorem_Semantic_Batch014_Dynamics_Stability_Followup.thy,typed_residual_guard,yes,yes,clean_build,not_attached,medium,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,12,14,8,0,0,
Emergence/bifurcation follow-up batch 015,batch,batch015_started,7,TZPID_Theorem_Semantic_Batch015_Emergence_Bifurcation_Followup.thy,typed_residual_guard,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,8,9,3,0,0,
Orbital/gyromagnetic follow-up batch 016,batch,batch016_started,7,TZPID_Theorem_Semantic_Batch016_Orbital_Gyromagnetic_Followup.thy,typed_residual_guard,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,9,10,5,0,0,
Quantum/matter follow-up batch 017,batch,batch017_started,7,TZPID_Theorem_Semantic_Batch017_Quantum_Matter_Followup.thy,typed_residual_guard,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,8,10,4,0,0,
Resonance-locking follow-up batch 018,batch,batch018_started,5,TZPID_Theorem_Semantic_Batch018_Resonance_Locking_Followup.thy,typed_residual_guard,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,9,10,4,0,0,
Geometry/curvature closeout batch 019,batch,batch019_started,1,TZPID_Theorem_Semantic_Batch019_Geometry_Curvature_Closeout.thy,typed_residual_guard,yes,yes,clean_build,not_attached,medium,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,5,5,2,0,0,
